,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP
9.625,10,4.175896404287213,70,111.75896404287214,30,0,0.125,0.125
9.75,10,4.123697699233624,70,111.23697699233624,30,0,0.125,0.125
9.875,10,4.072151477993204,70,110.72151477993204,30,0,0.125,0.125
10.0,10,4.021249584518289,70,110.21249584518289,30,0,0.125,0.125
10.125,10,3.9709839647118104,70,109.7098396471181,30,0,0.125,0.125
10.25,10,3.921346665152913,70,109.21346665152913,30,0,0.125,0.125
10.375,10,3.8723298318385018,70,108.72329831838502,30,0,0.125,0.125
10.5,10,3.82392570894052,70,108.2392570894052,30,0,0.125,0.125
10.625,10,3.776126637578764,70,107.76126637578764,30,0,0.125,0.125
10.75,10,3.72892505460903,70,107.2892505460903,30,0,0.125,0.125
10.875,10,3.6823134914264175,70,106.82313491426417,30,0,0.125,0.125
11.0,10,3.6362845727835875,70,106.36284572783588,30,0,0.125,0.125
11.125,10,3.590831015623793,70,105.90831015623793,30,0,0.125,0.125
11.25,10,3.545945627928495,70,105.45945627928495,30,0,0.125,0.125
11.375,10,3.5016213075793887,70,105.01621307579389,30,0,0.125,0.125
11.5,10,3.457851041234646,70,104.57851041234646,30,0,0.125,0.125
11.625,10,3.4146279032192126,70,104.14627903219213,30,0,0.125,0.125
11.75,10,3.3719450544289726,70,103.71945054428973,30,0,0.125,0.125
11.875,10,3.329795741248611,70,103.29795741248611,30,0,0.125,0.125
12.0,10,3.2881732944830033,70,102.88173294483003,30,0,0.125,0.125
12.125,10,3.2470711283019655,70,102.47071128301965,30,0,0.125,0.125
12.25,10,3.206482739198191,70,102.06482739198191,30,0,0.125,0.125
12.375,10,3.1664017049582127,70,101.66401704958213,30,0,0.125,0.125
12.5,10,3.1268216836462357,70,101.26821683646236,30,0,0.125,0.125
12.625,10,3.087736412600658,70,100.87736412600658,30,0,0.125,0.125
12.75,10,3.0491397074431505,70,100.4913970744315,30,0,0.125,0.125
12.875,10,3.011025461100111,70,100.11025461100111,30,0,0.125,0.125
13.0,10,2.97338764283636,70,99.7338764283636,30,0,0.125,0.125
13.125,10,2.936220297300906,70,99.36220297300906,30,0,0.125,0.125
13.25,10,2.8995175435846448,70,98.99517543584645,30,0,0.125,0.125
13.375,10,2.863273574289836,70,98.63273574289836,30,0,0.125,0.125
13.5,10,2.827482654611214,70,98.27482654611214,30,0,0.125,0.125
13.625,10,2.7921391214285736,70,97.92139121428573,30,0,0.125,0.125
13.75,10,2.757237382410716,70,97.57237382410716,30,0,0.125,0.125
13.875,10,2.722771915130582,70,97.22771915130582,30,0,0.125,0.125
14.0,10,2.68873726619145,70,96.8873726619145,30,0,0.125,0.125
14.125,10,2.655128050364057,70,96.55128050364057,30,0,0.125,0.125
14.25,10,2.6219389497345063,70,96.21938949734506,30,0,0.125,0.125
14.375,10,2.589164712862825,70,95.89164712862825,30,0,0.125,0.125
14.5,10,2.5568001539520395,70,95.5680015395204,30,0,0.125,0.125
14.625,10,2.5248401520276387,70,95.24840152027639,30,0,0.125,0.125
14.75,10,2.493279650127293,70,94.93279650127293,30,0,0.125,0.125
14.875,10,2.462113654500702,70,94.62113654500702,30,0,0.125,0.125
15.0,10,2.4313372338194426,70,94.31337233819443,30,0,0.125,0.125
15.125,10,2.400945518396699,70,94.00945518396699,30,0,0.125,0.125
15.25,10,2.37093369941674,70,93.7093369941674,30,0,0.125,0.125
15.375,10,2.3412970281740315,70,93.41297028174031,30,0,0.125,0.125
15.5,10,2.312030815321856,70,93.12030815321856,30,0,0.125,0.125
15.625,10,2.2831304301303335,70,92.83130430130333,30,0,0.125,0.125
15.75,10,2.2545912997537045,70,92.54591299753704,30,0,0.125,0.125
15.875,10,2.2264089085067837,70,92.26408908506784,30,0,0.125,0.125
16.0,10,2.198578797150449,70,91.9857879715045,30,0,0.125,0.125
16.125,10,2.171096562186068,70,91.71096562186068,30,0,0.125,0.125
16.25,10,2.1439578551587415,70,91.43957855158742,30,0,0.125,0.125
16.375,10,2.117158381969257,70,91.17158381969257,30,0,0.125,0.125
16.5,10,2.0906939021946416,70,90.90693902194641,30,0,0.125,0.125
16.625,10,2.0645602284172084,70,90.64560228417209,30,0,0.125,0.125
16.75,10,2.038753225561993,70,90.38753225561993,30,0,0.125,0.125
16.875,10,2.013268810242468,70,90.13268810242468,30,0,0.125,0.125
17.0,10,1.988102950114437,70,89.88102950114437,30,0,0.125,0.125
17.125,10,1.963251663238006,70,89.63251663238006,30,0,0.125,0.125
17.25,10,1.938711017447531,70,89.38711017447531,30,0,0.125,0.125
17.375,10,1.914477129729437,70,89.14477129729437,30,0,0.125,0.125
17.5,10,1.8905461656078189,70,88.90546165607819,30,0,0.125,0.125
17.625,10,1.8669143385377212,70,88.66914338537721,30,0,0.125,0.125
17.75,10,1.8435779093059992,70,88.43577909305999,30,0,0.125,0.125
17.875,10,1.8205331854396747,70,88.20533185439675,30,0,0.125,0.125
18.0,10,1.7977765206216787,70,87.97776520621679,30,0,0.125,0.125
18.125,10,1.7753043141139073,70,87.75304314113907,30,0,0.125,0.125
18.25,10,1.7531130101874837,70,87.53113010187484,30,0,0.125,0.125
18.375,10,1.7311990975601403,70,87.3119909756014,30,0,0.125,0.125
18.5,10,1.7095591088406379,70,87.09559108840638,30,0,0.125,0.125
18.625,10,1.6881896199801303,70,86.8818961998013,30,0,0.125,0.125
18.75,10,1.667087249730379,70,86.67087249730379,30,0,0.125,0.125
18.875,10,1.6462486591087497,70,86.4624865910875,30,0,0.125,0.125
19.0,10,1.62567055086989,70,86.2567055086989,30,0,0.125,0.125
19.125,10,1.6053496689840159,70,86.05349668984016,30,0,0.125,0.125
19.25,10,1.5852827981217161,70,85.85282798121716,30,0,0.125,0.125
19.375,10,1.5654667631451944,70,85.65466763145194,30,0,0.125,0.125
19.5,10,1.5458984286058794,70,85.4589842860588,30,0,0.125,0.125
19.625,10,1.5265746982483066,70,85.26574698248307,30,0,0.125,0.125
19.75,10,1.507492514520203,70,85.07492514520203,30,0,0.125,0.125
19.875,10,1.4886488580887005,70,84.886488580887,30,0,0.125,0.125
20.0,10,1.4700407473625916,70,84.70040747362592,30,0,0.125,0.125
20.125,10,1.4516652380205586,70,84.51665238020558,30,0,0.125,0.125
20.25,10,1.433519422545301,70,84.33519422545301,30,0,0.125,0.125
20.375,10,1.4156004297634852,70,84.15600429763485,30,0,0.125,0.125
20.5,10,1.397905424391442,70,83.97905424391442,30,0,0.125,0.125
20.625,10,1.3804316065865492,70,83.80431606586549,30,0,0.125,0.125
20.75,10,1.3631762115042179,70,83.63176211504218,30,0,0.125,0.125
20.875,10,1.3461365088604154,70,83.46136508860415,30,0,0.125,0.125
21.0,10,1.3293098024996595,70,83.2930980249966,30,0,0.125,0.125
21.125,10,1.3126934299684136,70,83.12693429968414,30,0,0.125,0.125
21.25,10,1.2962847620938092,70,82.96284762093809,30,0,0.125,0.125
21.375,10,1.2800812025676365,70,82.80081202567636,30,0,0.125,0.125
21.5,10,1.2640801875355407,70,82.64080187535541,30,0,0.125,0.125
21.625,10,1.2482791851913462,70,82.48279185191346,30,0,0.125,0.125
21.75,10,1.2326756953764544,70,82.32675695376454,30,0,0.125,0.125
21.875,10,1.2172672491842491,70,82.17267249184249,30,0,0.125,0.125
22.0,10,1.2020514085694458,70,82.02051408569446,30,0,0.125,0.125
22.125,10,1.1870257659623278,70,81.87025765962328,30,0,0.125,0.125
22.25,10,1.1721879438877991,70,81.72187943887799,30,0,0.125,0.125
22.375,10,1.1575355945892014,70,81.57535594589201,30,0,0.125,0.125
22.5,10,1.143066399656837,70,81.43066399656837,30,0,0.125,0.125
22.625,10,1.1287780696611265,70,81.28778069661126,30,0,0.125,0.125
22.75,10,1.114668343790362,70,81.14668343790362,30,0,0.125,0.125
22.875,10,1.1007349894929817,70,81.00734989492982,30,0,0.125,0.125
23.0,10,1.08697580212432,70,80.8697580212432,30,0,0.125,0.125
23.125,10,1.0733886045977656,70,80.73388604597766,30,0,0.125,0.125
23.25,10,1.0599712470402936,70,80.59971247040293,30,0,0.125,0.125
23.375,10,1.0467216064522902,70,80.4672160645229,30,0,0.125,0.125
23.5,10,1.033637586371637,70,80.33637586371637,30,0,0.125,0.125
23.625,10,1.0207171165419922,70,80.20717116541992,30,0,0.125,0.125
23.75,10,1.0079581525852177,70,80.07958152585218,30,0,0.125,0.125
